group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_combined_cube07.pbcor.fits               9.08 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_combined_cube08.fits                     9.08 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_combined_cube08.pbcor.fits               9.08 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_combined_cube09.fits                     18.23 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_combined_cube09.pbcor.fits               18.23 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_combined_cube10.fits                     18.17 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_combined_cube10.pbcor.fits               18.17 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_combined_cube11.fits                     18.23 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_combined_cube11.pbcor.fits               18.23 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_combined_cube12.fits                     18.01 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_combined_cube12.pbcor.fits               18.01 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_combined_cube13.fits                     9.08 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_combined_cube13.pbcor.fits               9.08 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_combined_cube14.fits                     18.23 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_combined_cube14.pbcor.fits               18.23 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_combined_cube15.fits                     18.23 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_combined_cube15.pbcor.fits               18.23 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_combined_line.ms.contsub.tgz             54.00 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_compact_cont_mfs.fin.fits                165.94 KB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_compact_cont_mfs.fin.mask.fits.gz        1.42 KB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_compact_cont.ms.flagversions.tgz         54.45 KB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_compact_cont.ms.tgz                      1.62 GB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_compact_cube00.fits                      292.71 MB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_compact_cube00.mask.fits.gz              313.33 KB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_compact_cube00.pbcor.fits                292.71 MB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_compact_cube01.fits                      292.71 MB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_compact_cube01.mask.fits.gz              303.80 KB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_compact_cube01.pbcor.fits                292.71 MB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_compact_cube04.fits                      292.71 MB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_compact_cube04.mask.fits.gz              294.11 KB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_compact_cube04.pbcor.fits                292.71 MB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_compact_cube05.fits                      292.71 MB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_compact_cube05.mask.fits.gz              314.56 KB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_compact_cube05.pbcor.fits                292.71 MB
group.uid___A001_X133d_X1237.lp_ldecin.GY_Aql_compact_cube08.fits                      146.21 MB
